plazaid,date,ZoneID,CityID,CityLevel,BusinessStartDate,PlazaLevel2,PlazaType,BusiArea,TotalBuildingArea,BusinessBuildingArea,year,month,day,weekday,holiday1,holiday9,holiday5,holiday4,holiday2,holiday10,holiday3,holiday11,holiday6,holiday7,new_year_eve,holiday8,workingday_makeup,day_temp,night_temp,day_weather,day_weather2,day_wind,night_wind
45,2016-07-01,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,rain_storm,big_trouble,1,1
45,2016-07-02,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,26,23,heavy_rain,med_trouble,1,1
45,2016-07-03,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,med_rain,small_trouble,1,1
45,2016-07-04,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,heavy_rain,med_trouble,1,1
45,2016-07-05,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,heavy_rain,med_trouble,1,1
45,2016-07-06,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,med_rain,small_trouble,1,1
45,2016-07-07,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,Thunder,little_trouble,1,1
45,2016-07-08,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,34,26,cloudy,good,1,1
45,2016-07-09,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,34,26,cloudy,good,1,1
45,2016-07-10,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,25,cloudy,good,1,1
45,2016-07-11,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,26,cloudy,good,1,1
45,2016-07-12,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,34,26,Thunder,little_trouble,1,1
45,2016-07-13,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,med_rain,small_trouble,1,1
45,2016-07-14,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,heavy_rain,med_trouble,1,1
45,2016-07-15,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,heavy_rain,med_trouble,1,1
45,2016-07-16,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,32,25,cloudy,good,1,1
45,2016-07-17,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,cloudy,good,1,1
45,2016-07-18,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,26,med_rain,small_trouble,1,1
45,2016-07-19,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,med_rain,small_trouble,1,1
45,2016-07-20,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,med_rain,small_trouble,1,1
45,2016-07-21,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,34,27,cloudy,good,1,3
45,2016-07-22,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,35,27,sunny,good,1,1
45,2016-07-23,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,36,28,sunny,good,1,1
45,2016-07-24,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,28,sunny,good,1,1
45,2016-07-25,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,28,sunny,good,1,1
45,2016-07-26,8,179,1498,27AUG11:00:00:00,A?,2,84878.4,135315.2,69157.6,2016,7,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38,29,sunny,good,1,1
